name = zilien_data_COstrip_11-11-21.csv AND 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC-MS
tstamp = 1636617385.0
backend_name = memory
id = 6
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and 'selector' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M40-x' for: 'M40'
timecol 'M32-x' for: 'M32'
timecol 'M4-x' for: 'M4'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
N_header_lines = 16

time/s,	raw potential / [V],	raw current / [mA],	selector,	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$],	M28-x,	M28,	M18-x,	M18,	M40-x,	M40,	M32-x,	M32,	M4-x,	M4,	M44-x,	M44,	M2-x,	M2
8400.202059984207,	0.17350717,	-0.001158105644666483,	11,	0.17350717,	-0.005908702268706546,	8400.313999891281,	1.146584e-10,	8400.240000009537,	1.401548e-09,	8400.463000059128,	2.385221e-12,	8400.388999938965,	2.391879e-10,	8400.164999961853,	1.93004e-08,	8400.538000106812,	1.040615e-11,	8400.091000080109,	2.583207e-10,	
8401.001659870148,	0.16951232,	-0.001199372148603457,	11,	0.16951232,	-0.006119245656140086,	8400.87700009346,	1.156804e-10,	8400.802999973297,	1.395283e-09,	8401.026000022888,	2.152947e-12,	8400.951999902725,	2.388567e-10,	8400.727999925613,	1.940466e-08,	8401.101000070572,	1.06549e-11,	8400.654000043869,	2.591476e-10,	
8401.801259994507,	0.16550341,	-0.001240305038927721,	11,	0.16550341,	-0.006328086933304698,	8401.438999891281,	1.152319e-10,	8401.364000082016,	1.393425e-09,	8401.588000059128,	2.252831e-12,	8401.513000011444,	2.380231e-10,	8401.289999961853,	1.938317e-08,	8401.661999940872,	1.056196e-11,	8401.21499991417,	2.58123e-10,	
8402.600859880447,	0.16150978,	-0.00128886497535468,	11,	0.16150978,	-0.006575841710993266,	8402.00300002098,	1.153245e-10,	8401.927999973297,	1.401064e-09,	8402.151999950409,	2.147372e-12,	8402.076999902725,	2.386993e-10,	8401.854000091553,	1.938372e-08,	8402.226000070572,	1.064549e-11,	8401.779000043869,	2.590496e-10,	
8403.400460004807,	0.15750442,	-0.001347459535569206,	11,	0.15750442,	-0.006874793548822479,	8402.56500005722,	1.147523e-10,	8402.490999937057,	1.390345e-09,	8402.713999986649,	2.130282e-12,	8402.640000104904,	2.393238e-10,	8402.415999889374,	1.937898e-08,	8402.789000034332,	1.04902e-11,	8402.34200000763,	2.576689e-10,	
8404.200059890747,	0.15349859,	-0.0014195316875096,	11,	0.15349859,	-0.007242508609742857,	8403.12800002098,	1.149022e-10,	8403.052999973297,	1.400074e-09,	8403.276999950409,	2.131172e-12,	8403.201999902725,	2.386127e-10,	8402.979000091553,	1.938955e-08,	8403.351000070572,	1.039279e-11,	8402.904000043869,	2.585139e-10,	
8404.999660015106,	0.14952791,	-0.001495967354200791,	11,	0.14952791,	-0.007632486501024444,	8403.690999984741,	1.144439e-10,	8403.615999937057,	1.399832e-09,	8403.83999991417,	2.225541e-12,	8403.765000104904,	2.382552e-10,	8403.542000055313,	1.94432e-08,	8403.914000034332,	1.05883e-11,	8403.46700000763,	2.588891e-10,	
8405.799259901047,	0.14551979,	-0.001607939594321385,	11,	0.14551979,	-0.00820377344041523,	8404.25200009346,	1.15689e-10,	8404.177999973297,	1.403131e-09,	8404.401000022888,	2.255157e-12,	8404.326999902725,	2.40653e-10,	8404.102999925613,	1.940921e-08,	8404.476000070572,	1.070123e-11,	8404.029000043869,	2.586824e-10,	
8406.598860025406,	0.14152534,	-0.001733816958493777,	11,	0.14152534,	-0.008846004890274373,	8404.81500005722,	1.159284e-10,	8404.740999937057,	1.402357e-09,	8404.963999986649,	2.237157e-12,	8404.890000104904,	2.390371e-10,	8404.665999889374,	1.943031e-08,	8405.039000034332,	1.049444e-11,	8404.59200000763,	2.586917e-10,	
8407.398459911346,	0.13751866,	-0.001872956913243979,	11,	0.13751866,	-0.00955590261859173,	8405.378999948502,	1.153778e-10,	8405.303999900818,	1.401331e-09,	8405.528000116348,	2.155692e-12,	8405.453000068665,	2.392016e-10,	8405.230000019073,	1.941186e-08,	8405.601999998093,	1.058125e-11,	8405.15499997139,	2.593745e-10,	
