ixdat version = 0.2.1dev
name = 2021-11-11 08_56_25 CO-strip.tsv
technique = MS
tstamp = 1636617385.0
backend_name = BackendBase(none, address=none)
id = 2
timecol 'M2-x' for: 'M2'
timecol 'M32-x' for: 'M32'
timecol 'M40-x' for: 'M40'
timecol 'time/s' for: 'Ewe/V' and 'cycle number' and 'I/mA'
timecol 'M44-x' for: 'M44'
timecol 'M4-x' for: 'M4'
timecol 'M18-x' for: 'M18'
timecol 'M28-x' for: 'M28'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

M2-x,	M2,	M32-x,	M32,	M40-x,	M40,	time/s,	Ewe/V,	cycle number,	M44-x,	M44,	M4-x,	M4,	M18-x,	M18,	M28-x,	M28,	I/mA
13500.539999961853,	2.505809e-10,	13500.27999997139,	2.307978e-10,	13500.349999904633,	2.343611e-12,	13500.180000066757,	0.1528549,	18.0,	13500.430000066757,	1.014407e-11,	13500.049999952316,	1.845919e-08,	13500.130000114441,	1.330181e-09,	13500.200000047684,	1.150762e-10,	-0.00181333
13501.099999904633,	2.502589e-10,	13500.83999991417,	2.311157e-10,	13500.91000008583,	2.281844e-12,	13500.33999991417,	0.1520642,	18.0,	13500.990000009537,	1.010178e-11,	13500.619999885559,	1.845762e-08,	13500.69000005722,	1.330629e-09,	13500.759999990463,	1.15012e-10,	-0.001816344
13501.670000076294,	2.49877e-10,	13501.400000095367,	2.317051e-10,	13501.480000019073,	2.320552e-12,	13500.579999923706,	0.1509104,	18.0,	13501.549999952316,	1.014539e-11,	13501.180000066757,	1.84979e-08,	13501.25,	1.331547e-09,	13501.329999923706,	1.150323e-10,	-0.001923174
13502.230000019073,	2.508138e-10,	13501.960000038147,	2.311921e-10,	13502.039999961853,	2.309669e-12,	13500.730000019073,	0.1501502,	18.0,	13502.109999895096,	1.023591e-11,	13501.740000009537,	1.843495e-08,	13501.819999933243,	1.332567e-09,	13501.890000104904,	1.152674e-10,	-0.001904746
13502.789999961853,	2.508957e-10,	13502.52999997139,	2.308739e-10,	13502.599999904633,	2.234285e-12,	13500.900000095367,	0.1491797,	18.0,	13502.680000066757,	1.038513e-11,	13502.299999952316,	1.841555e-08,	13502.380000114441,	1.32576e-09,	13502.450000047684,	1.149037e-10,	-0.001710124
13503.349999904633,	2.501428e-10,	13503.08999991417,	2.310594e-10,	13503.170000076294,	2.351141e-12,	13501.079999923706,	0.1483469,	18.0,	13503.240000009537,	1.024363e-11,	13502.869999885559,	1.846032e-08,	13502.94000005722,	1.336644e-09,	13503.019999980927,	1.152456e-10,	-0.0007649061
13503.920000076294,	2.511272e-10,	13503.650000095367,	2.314706e-10,	13503.730000019073,	2.297778e-12,	13501.259999990463,	0.1474682,	18.0,	13503.799999952316,	1.018215e-11,	13503.430000066757,	1.847883e-08,	13503.5,	1.329452e-09,	13503.579999923706,	1.142144e-10,	-0.001861747
13504.480000019073,	2.508001e-10,	13504.22000002861,	2.315634e-10,	13504.289999961853,	2.349659e-12,	13501.420000076294,	0.1466889,	18.0,	13504.359999895096,	1.017033e-11,	13503.990000009537,	1.849918e-08,	13504.069999933243,	1.329692e-09,	13504.140000104904,	1.153625e-10,	-0.002037711
13505.039999961853,	2.505326e-10,	13504.77999997139,	2.31663e-10,	13504.849999904633,	2.43049e-12,	13501.579999923706,	0.1459095,	18.0,	13504.930000066757,	1.027845e-11,	13504.549999952316,	1.835288e-08,	13504.630000114441,	1.326952e-09,	13504.700000047684,	1.148268e-10,	-0.002115774
13505.609999895096,	2.499833e-10,	13505.33999991417,	2.32046e-10,	13505.41000008583,	2.248951e-12,	13501.730000019073,	0.145111,	18.0,	13505.490000009537,	1.002195e-11,	13505.119999885559,	1.847153e-08,	13505.19000005722,	1.336126e-09,	13505.269999980927,	1.157149e-10,	-0.001940878
13506.170000076294,	2.507423e-10,	13505.900000095367,	2.312914e-10,	13505.980000019073,	2.285266e-12,	13501.890000104904,	0.1443699,	18.0,	13506.049999952316,	1.03484e-11,	13505.680000066757,	1.846103e-08,	13505.75,	1.327728e-09,	13505.829999923706,	1.152574e-10,	-0.00200715
13506.730000019073,	2.50382e-10,	13506.47000002861,	2.314028e-10,	13506.539999961853,	2.300618e-12,	13502.109999895096,	0.1432009,	18.0,	13506.619999885559,	1.031722e-11,	13506.240000009537,	1.845023e-08,	13506.319999933243,	1.331756e-09,	13506.390000104904,	1.145709e-10,	-0.001432137
13507.289999961853,	2.499789e-10,	13507.02999997139,	2.310605e-10,	13507.099999904633,	2.387001e-12,	13502.269999980927,	0.1424712,	18.0,	13507.180000066757,	1.018387e-11,	13506.80999994278,	1.846356e-08,	13506.880000114441,	1.332508e-09,	13506.950000047684,	1.14473e-10,	-0.001657167
13507.859999895096,	2.509809e-10,	13507.58999991417,	2.319038e-10,	13507.670000076294,	2.283011e-12,	13502.420000076294,	0.1416498,	18.0,	13507.740000009537,	1.009751e-11,	13507.369999885559,	1.845047e-08,	13507.44000005722,	1.324984e-09,	13507.519999980927,	1.144799e-10,	-0.001996887
