ixdat version = 0.2.1dev
name = 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC
tstamp = 1636618671.0
backend_name = BackendBase(none, address=none)
id = 4
timecol 'time/s' for: 'Ewe/V' and '<I>/mA' and 'selector'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V"], "raw_current": ["<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 11

time/s,	Ewe/V,	<I>/mA,	selector
12250.014397859573,	0.051137947,	-0.001192078007617966,	0
12250.114397764206,	0.051137872,	-0.001209554863395171,	0
12250.214397907257,	0.051210545,	-0.001198026736266913,	0
12250.31439781189,	0.051122651,	-0.001207154453732073,	0
12250.414397716522,	0.051095936,	-0.001197552421828732,	0
12250.514397859573,	0.051172268,	-0.001199137244606394,	0
12250.614397764206,	0.05114175,	-0.001195976107614113,	0
12250.714397907257,	0.051134065,	-0.001205638258717954,	0
12250.81439781189,	0.051149361,	-0.001198088263627141,	0
12250.914397716522,	0.05114175,	-0.001186616555787622,	0
12251.014397859573,	0.051122651,	-0.001188913476187736,	0
12251.114397764206,	0.051157046,	-0.001199776574969294,	0
12251.214397907257,	0.051168464,	-0.001210922848666088,	0
12251.31439781189,	0.051137947,	-0.001181449744850397,	0
12251.414397716522,	0.051130336,	-0.001189960362622516,	0
12251.514397859573,	0.051092058,	-0.001194746738998224,	0
12251.614397764206,	0.051149361,	-0.001198277943534779,	0
12251.714397668839,	0.051122651,	-0.001196674550883473,	0
12251.81439781189,	0.05114175,	-0.001185140794608742,	0
12251.914397716522,	0.051134139,	-0.001194973712787032,	0
12252.014397859573,	0.051164657,	-0.001190259833354504,	0
12252.114397764206,	0.051126529,	-0.001190884365933016,	0
12252.214397668839,	0.051160853,	-0.001196435719961302,	0
12252.31439781189,	0.051149435,	-0.001190346317831427,	0
12252.414397716522,	0.051126529,	-0.001171177719021216,	0
12252.514397859573,	0.051099744,	-0.001198500998318197,	0
12252.614397764206,	0.051107354,	-0.001177204203559087,	0
12252.714397668839,	0.051126454,	-0.001200478930724787,	0
12252.81439781189,	0.051084448,	-0.00119096782314591,	0
12252.914397716522,	0.051118769,	-0.001178271828219294,	0
12253.014397859573,	0.051130261,	-0.001188223943579942,	0
12253.114397764206,	0.051160853,	-0.001179596330504868,	0
12253.214397668839,	0.051130261,	-0.001174992324085909,	0
12253.31439781189,	0.051153168,	-0.001181276138871907,	0
12253.414397716522,	0.051137872,	-0.001181775769917293,	0
12253.514397859573,	0.051134139,	-0.00118100523459725,	0
12253.614397764206,	0.051149435,	-0.001198384834220637,	0
12253.714397668839,	0.051107354,	-0.001173393516801298,	0
12253.81439781189,	0.051149435,	-0.001187094191322107,	0
12253.914397716522,	0.051149435,	-0.001190910874633119,	0
12254.014397859573,	0.051153243,	-0.001172235194128006,	0
12254.114397764206,	0.051107429,	-0.001189997916808357,	0
12254.214397668839,	0.05114175,	-0.001171297729713842,	0
12254.31439781189,	0.051118843,	-0.001189735101070254,	0
12254.414397716522,	0.051160853,	-0.001166789640905337,	0
12254.514397859573,	0.051130336,	-0.00116891452437267,	0
12254.614397764206,	0.051084448,	-0.001178552916739139,	0
12254.714397668839,	0.051172342,	-0.001182865393348043,	0
12254.81439781189,	0.051103547,	-0.001187524562934417,	0
12254.914397716522,	0.051111158,	-0.001165816193679347,	0
12255.014397859573,	0.051076762,	-0.001189846654422581,	0
12255.114397764206,	0.051157046,	-0.001165322193177422,	0
12255.214397668839,	0.051099744,	-0.001186939566629009,	0
12255.31439781189,	0.051072955,	-0.001171399431070315,	0
12255.414397716522,	0.051164657,	-0.00116652914066799,	0
12255.514397621155,	0.051153243,	-0.001180900254752487,	0
12255.614397764206,	0.051164657,	-0.001167857341002675,	0
12255.714397668839,	0.051130261,	-0.001170108753722161,	0
12255.81439781189,	0.051099744,	-0.001178770561004058,	0
12255.914397716522,	0.051095936,	-0.001182124915299936,	0
12256.014397621155,	0.051130261,	-0.001171942251268779,	0
12256.114397764206,	0.051157046,	-0.001153686469420795,	0
12256.214397668839,	0.051153168,	-0.001181300043826924,	0
12256.31439781189,	0.051069148,	-0.001154632468940694,	0
12256.414397716522,	0.051134065,	-0.001167594305938109,	0
12256.514397621155,	0.051149361,	-0.001179469645023347,	0
