name = zilien_data_COstrip_11-11-21.csv AND 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC-MS
tstamp = 1636617385.0
backend_name = memory
id = 7
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and 'selector' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M40-x' for: 'M40'
timecol 'M32-x' for: 'M32'
timecol 'M4-x' for: 'M4'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
N_header_lines = 16

time/s,	raw potential / [V],	raw current / [mA],	selector,	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$],	M28-x,	M28,	M18-x,	M18,	M40-x,	M40,	M32-x,	M32,	M4-x,	M4,	M44-x,	M44,	M2-x,	M2
13500.044698238373,	0.17347841,	-0.001214587472465206,	17,	0.17347841,	-0.006196874859516356,	13500.200000047684,	1.150762e-10,	13500.130000114441,	1.330181e-09,	13500.349999904633,	2.343611e-12,	13500.27999997139,	2.307978e-10,	13500.049999952316,	1.845919e-08,	13500.430000066757,	1.014407e-11,	13500.539999961853,	2.505809e-10,	
13500.844298124313,	0.16948158,	-0.001255235063824849,	17,	0.16948158,	-0.006404260529718617,	13500.759999990463,	1.15012e-10,	13500.69000005722,	1.330629e-09,	13500.91000008583,	2.281844e-12,	13500.83999991417,	2.311157e-10,	13500.619999885559,	1.845762e-08,	13500.990000009537,	1.010178e-11,	13501.099999904633,	2.502589e-10,	
13501.643998146057,	0.16548191,	-0.001304035019169779,	17,	0.16548191,	-0.006653239893723363,	13501.329999923706,	1.150323e-10,	13501.25,	1.331547e-09,	13501.480000019073,	2.320552e-12,	13501.400000095367,	2.317051e-10,	13501.180000066757,	1.84979e-08,	13501.549999952316,	1.014539e-11,	13501.670000076294,	2.49877e-10,	
13502.443598270416,	0.16147746,	-0.001349734355493133,	17,	0.16147746,	-0.006886399772924148,	13501.890000104904,	1.152674e-10,	13501.819999933243,	1.332567e-09,	13502.039999961853,	2.309669e-12,	13501.960000038147,	2.311921e-10,	13501.740000009537,	1.843495e-08,	13502.109999895096,	1.023591e-11,	13502.230000019073,	2.508138e-10,	
13503.243198156357,	0.15749237,	-0.001408349068800375,	17,	0.15749237,	-0.007185454432654974,	13502.450000047684,	1.149037e-10,	13502.380000114441,	1.32576e-09,	13502.599999904633,	2.234285e-12,	13502.52999997139,	2.308739e-10,	13502.299999952316,	1.841555e-08,	13502.680000066757,	1.038513e-11,	13502.789999961853,	2.508957e-10,	
13504.042798280716,	0.1534922,	-0.001474797186232814,	17,	0.1534922,	-0.007524475439963337,	13503.019999980927,	1.152456e-10,	13502.94000005722,	1.336644e-09,	13503.170000076294,	2.351141e-12,	13503.08999991417,	2.310594e-10,	13502.869999885559,	1.846032e-08,	13503.240000009537,	1.024363e-11,	13503.349999904633,	2.501428e-10,	
13504.842398166656,	0.14951195,	-0.001556133891313718,	17,	0.14951195,	-0.007939458629151623,	13503.579999923706,	1.142144e-10,	13503.5,	1.329452e-09,	13503.730000019073,	2.297778e-12,	13503.650000095367,	2.314706e-10,	13503.430000066757,	1.847883e-08,	13503.799999952316,	1.018215e-11,	13503.920000076294,	2.511272e-10,	
13505.641998291016,	0.14550655,	-0.001666422618152096,	17,	0.14550655,	-0.008502156215061714,	13504.140000104904,	1.153625e-10,	13504.069999933243,	1.329692e-09,	13504.289999961853,	2.349659e-12,	13504.22000002861,	2.315634e-10,	13503.990000009537,	1.849918e-08,	13504.359999895096,	1.017033e-11,	13504.480000019073,	2.508001e-10,	
13506.441598176956,	0.14150982,	-0.001794956311550494,	17,	0.14150982,	-0.009157940365053541,	13504.700000047684,	1.148268e-10,	13504.630000114441,	1.326952e-09,	13504.849999904633,	2.43049e-12,	13504.77999997139,	2.31663e-10,	13504.549999952316,	1.835288e-08,	13504.930000066757,	1.027845e-11,	13505.039999961853,	2.505326e-10,	
13507.241198062897,	0.13749206,	-0.00194176596798798,	17,	0.13749206,	-0.009906969224428469,	13505.269999980927,	1.157149e-10,	13505.19000005722,	1.336126e-09,	13505.41000008583,	2.248951e-12,	13505.33999991417,	2.32046e-10,	13505.119999885559,	1.847153e-08,	13505.490000009537,	1.002195e-11,	13505.609999895096,	2.499833e-10,	
13508.040798187256,	0.13350485,	-0.00207506453074803,	17,	0.13350485,	-0.010587063932387907,	13505.829999923706,	1.152574e-10,	13505.75,	1.327728e-09,	13505.980000019073,	2.285266e-12,	13505.900000095367,	2.312914e-10,	13505.680000066757,	1.846103e-08,	13506.049999952316,	1.03484e-11,	13506.170000076294,	2.507423e-10,	
13508.840398073196,	0.12949586,	-0.002174402372257031,	17,	0.12949586,	-0.011093889654372606,	13506.390000104904,	1.145709e-10,	13506.319999933243,	1.331756e-09,	13506.539999961853,	2.300618e-12,	13506.47000002861,	2.314028e-10,	13506.240000009537,	1.845023e-08,	13506.619999885559,	1.031722e-11,	13506.730000019073,	2.50382e-10,	
13509.639998197556,	0.12549762,	-0.002206071989168703,	17,	0.12549762,	-0.011255469332493382,	13506.950000047684,	1.14473e-10,	13506.880000114441,	1.332508e-09,	13507.099999904633,	2.387001e-12,	13507.02999997139,	2.310605e-10,	13506.80999994278,	1.846356e-08,	13507.180000066757,	1.018387e-11,	13507.289999961853,	2.499789e-10,	
13510.439598083496,	0.12149535,	-0.00219203524177404,	17,	0.12149535,	-0.011183853274357348,	13507.519999980927,	1.144799e-10,	13507.44000005722,	1.324984e-09,	13507.670000076294,	2.283011e-12,	13507.58999991417,	2.319038e-10,	13507.369999885559,	1.845047e-08,	13507.740000009537,	1.009751e-11,	13507.859999895096,	2.509809e-10,	
13511.239198207855,	0.11749999,	-0.00213543504780609,	17,	0.11749999,	-0.010895076774520868,	13508.079999923706,	1.150498e-10,	13508.009999990463,	1.33112e-09,	13508.230000019073,	2.310072e-12,	13508.150000095367,	2.313925e-10,	13507.930000066757,	1.845292e-08,	13508.299999952316,	1.03791e-11,	13508.420000076294,	2.518458e-10,	
13512.038798093796,	0.11351963,	-0.002070711879550245,	17,	0.11351963,	-0.010564856528317576,	13508.640000104904,	1.152353e-10,	13508.569999933243,	1.338736e-09,	13508.789999961853,	2.191159e-12,	13508.72000002861,	2.327171e-10,	13508.490000009537,	1.856462e-08,	13508.869999885559,	1.036839e-11,	13508.980000019073,	2.52131e-10,	
13512.838397979736,	0.1095037,	-0.002010900358155883,	17,	0.1095037,	-0.010259695704876953,	13509.200000047684,	1.157467e-10,	13509.130000114441,	1.337423e-09,	13509.349999904633,	2.350711e-12,	13509.27999997139,	2.320903e-10,	13509.05999994278,	1.854358e-08,	13509.430000066757,	1.004729e-11,	13509.549999952316,	2.511098e-10,	
13513.637998104095,	0.10550427,	-0.001945661183809295,	17,	0.10550427,	-0.009926842774537219,	13509.769999980927,	1.150094e-10,	13509.69000005722,	1.338654e-09,	13509.920000076294,	2.34137e-12,	13509.83999991417,	2.320371e-10,	13509.619999885559,	1.849656e-08,	13509.990000009537,	1.035466e-11,	13510.109999895096,	2.510863e-10,	
13514.437597990036,	0.10150348,	-0.001895100420357475,	17,	0.10150348,	-0.009668879695701403,	13510.329999923706,	1.146833e-10,	13510.259999990463,	1.337094e-09,	13510.480000019073,	2.1625e-12,	13510.400000095367,	2.31952e-10,	13510.180000066757,	1.848759e-08,	13510.549999952316,	1.010859e-11,	13510.670000076294,	2.513554e-10,	
13515.23729801178,	0.097513944,	-0.001865779075274231,	17,	0.097513944,	-0.009519280996297097,	13510.890000104904,	1.138353e-10,	13510.819999933243,	1.330718e-09,	13511.039999961853,	2.277204e-12,	13510.97000002861,	2.312173e-10,	13510.740000009537,	1.852553e-08,	13511.119999885559,	1.018779e-11,	13511.230000019073,	2.530961e-10,	
13516.036898136139,	0.093516298,	-0.001839283802214209,	17,	0.093516298,	-0.009384101031705148,	13511.460000038147,	1.136459e-10,	13511.380000114441,	1.332859e-09,	13511.609999895096,	2.322545e-12,	13511.52999997139,	2.316509e-10,	13511.30999994278,	1.852733e-08,	13511.680000066757,	1.014284e-11,	13511.799999952316,	2.528443e-10,	
13516.83649802208,	0.089519717,	-0.001824610465596878,	17,	0.089519717,	-0.009309237069371826,	13512.019999980927,	1.147576e-10,	13511.94000005722,	1.336213e-09,	13512.170000076294,	2.213984e-12,	13512.08999991417,	2.318057e-10,	13511.869999885559,	1.851795e-08,	13512.240000009537,	1.040916e-11,	13512.359999895096,	2.521012e-10,	
13517.636198043823,	0.085524395,	-0.001820318797421287,	17,	0.085524395,	-0.00928734080316983,	13512.579999923706,	1.149014e-10,	13512.509999990463,	1.332338e-09,	13512.730000019073,	2.224073e-12,	13512.66000008583,	2.326801e-10,	13512.430000066757,	1.853462e-08,	13512.799999952316,	9.959294e-12,	13512.920000076294,	2.519966e-10,	
13518.435797929764,	0.081527025,	-0.001836630376960642,	17,	0.081527025,	-0.009370563147758377,	13513.140000104904,	1.153335e-10,	13513.069999933243,	1.33462e-09,	13513.289999961853,	2.102909e-12,	13513.22000002861,	2.311172e-10,	13512.990000009537,	1.853819e-08,	13513.369999885559,	1.001029e-11,	13513.480000019073,	2.513711e-10,	
13519.235398054123,	0.077538364,	-0.001859952766685963,	17,	0.077538364,	-0.009489554932071239,	13513.710000038147,	1.140231e-10,	13513.630000114441,	1.332828e-09,	13513.859999895096,	2.278513e-12,	13513.77999997139,	2.320784e-10,	13513.55999994278,	1.851394e-08,	13513.930000066757,	1.001937e-11,	13514.049999952316,	2.515968e-10,	
13520.034997940063,	0.073550396,	-0.001915063865295365,	17,	0.073550396,	-0.009770734006609005,	13514.269999980927,	1.136189e-10,	13514.19000005722,	1.330667e-09,	13514.420000076294,	2.377081e-12,	13514.33999991417,	2.306643e-10,	13514.119999885559,	1.846901e-08,	13514.490000009537,	1.005363e-11,	13514.609999895096,	2.511523e-10,	
13520.834598064423,	0.069545969,	-0.001994158113586789,	17,	0.069545969,	-0.010174276089728516,	13514.829999923706,	1.145583e-10,	13514.759999990463,	1.328292e-09,	13514.980000019073,	2.216034e-12,	13514.91000008583,	2.318892e-10,	13514.680000066757,	1.840648e-08,	13515.049999952316,	1.005362e-11,	13515.170000076294,	2.525748e-10,	
13521.634197950363,	0.06554918,	-0.002116650181415006,	17,	0.06554918,	-0.010799235619464317,	13515.390000104904,	1.143658e-10,	13515.319999933243,	1.332647e-09,	13515.539999961853,	2.248638e-12,	13515.47000002861,	2.30527e-10,	13515.240000009537,	1.850249e-08,	13515.619999885559,	1.017359e-11,	13515.730000019073,	2.526568e-10,	
