name = 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC
tstamp = 1636618671.0
backend_name = memory
id = 9
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and 'selector' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]'
N_header_lines = 9

time/s,	raw potential / [V],	raw current / [mA],	selector,	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$]
7150.6716594696045,	0.051130261,	-0.001226059484016152,	11,	0.051130261,	-0.0062554055306946535,	
7151.6716594696045,	0.051114965,	-0.001219609972042963,	11,	0.051114965,	-0.006222499857362056,	
7152.6716594696045,	0.051103547,	-0.00121201269729063,	11,	0.051103547,	-0.006183738251482805,	
7153.6716594696045,	0.051218156,	-0.001206008461723106,	11,	0.051218156,	-0.006153104396546459,	
7154.6716594696045,	0.051164657,	-0.00120279441352468,	11,	0.051164657,	-0.006136706191452449,	
7155.6716594696045,	0.051225845,	-0.001196973836678081,	11,	0.051225845,	-0.006107009370806536,	
7156.6716594696045,	0.051134139,	-0.001191806161799468,	11,	0.051134139,	-0.006080643682650347,	
7157.6716594696045,	0.051134139,	-0.001192790567013435,	11,	0.051134139,	-0.0060856661582318105,	
7158.6716594696045,	0.051137947,	-0.001187898371415214,	11,	0.051137947,	-0.006060705976608235,	
7159.6716594696045,	0.05111504,	-0.001184609134774655,	11,	0.05111504,	-0.006043924157013546,	
7160.6716594696045,	0.051160853,	-0.001181231031497011,	11,	0.051160853,	-0.006026688936209239,	
7161.6716594696045,	0.051118843,	-0.001180821959115567,	11,	0.051118843,	-0.006024601832222281,	
7162.6716594696045,	0.051103547,	-0.00117442951956764,	11,	0.051103547,	-0.0059919873447328575,	
7163.6716594696045,	0.051149435,	-0.001175217767874713,	11,	0.051149435,	-0.0059960090197689435,	
7164.6716594696045,	0.051111158,	-0.001170124849141576,	11,	0.051111158,	-0.005970024740518245,	
7165.6716594696045,	0.051157046,	-0.001167599329049701,	11,	0.051157046,	-0.0059571394339270455,	
7166.671659231186,	0.051191445,	-0.001165243842313066,	11,	0.051191445,	-0.005945121644454418,	
7167.671659231186,	0.051176149,	-0.001163877340173348,	11,	0.051176149,	-0.00593814969476198,	
7168.671659231186,	0.051149435,	-0.001163191589899363,	11,	0.051149435,	-0.005934650968874301,	
7169.671659231186,	0.051168539,	-0.001160137776285413,	11,	0.051168539,	-0.005919070287170474,	
7170.671659231186,	0.051130261,	-0.001163186120335016,	11,	0.051130261,	-0.0059346230629337545,	
7171.671659231186,	0.051206741,	-0.001160388303059156,	11,	0.051206741,	-0.0059203484849956935,	
7172.671659231186,	0.051126529,	-0.001157233913056555,	11,	0.051126529,	-0.005904254658451811,	
7173.671659231186,	0.051172268,	-0.001154552474734373,	11,	0.051172268,	-0.005890573850685576,	
7174.671659231186,	0.051179953,	-0.00115599229161162,	11,	0.051179953,	-0.005897919855161327,	
7175.671659231186,	0.051145632,	-0.001154296447127126,	11,	0.051145632,	-0.005889267587383296,	
7176.671659231186,	0.051179953,	-0.001154151016334076,	11,	0.051179953,	-0.0058885255935412035,	
7177.671659231186,	0.05118376,	-0.001150414911238478,	11,	0.05118376,	-0.005869463832849376,	
7178.671659231186,	0.051145557,	-0.001154813524684873,	11,	0.051145557,	-0.005891905738188127,	
7179.671659231186,	0.051114965,	-0.001152519272896462,	11,	0.051114965,	-0.005880200371920725,	
7180.671659231186,	0.051126454,	-0.001148767324350774,	11,	0.051126454,	-0.005861057777299868,	
7181.671659231186,	0.051191371,	-0.001151057445793413,	11,	0.051191371,	-0.005872742070374556,	
7182.671659231186,	0.051164657,	-0.001150175508996473,	11,	0.051164657,	-0.005868242392839148,	
7183.671659231186,	0.051160853,	-0.001144646467478014,	11,	0.051160853,	-0.005840032997336806,	
7184.671659231186,	0.051130261,	-0.001146628609788605,	11,	0.051130261,	-0.005850145968309209,	
7185.671659231186,	0.051153168,	-0.001147622091905217,	11,	0.051153168,	-0.005855214754618454,	
7186.671658992767,	0.051153243,	-0.001143576734606178,	11,	0.051153243,	-0.005834575176562133,	
7187.671658992767,	0.051118843,	-0.001142613739403896,	11,	0.051118843,	-0.005829661935734163,	
7188.671658992767,	0.051160853,	-0.001143118750420401,	11,	0.051160853,	-0.005832238522553066,	
7189.671658992767,	0.051168539,	-0.001142341602779928,	11,	0.051168539,	-0.005828273483571061,	
7190.671658992767,	0.051157046,	-0.001142503475421108,	11,	0.051157046,	-0.005829099364393409,	
7191.671658992767,	0.051149435,	-0.001141742531070487,	11,	0.051149435,	-0.005825216995257586,	
7192.671658992767,	0.051095936,	-0.001142678854707632,	11,	0.051095936,	-0.005829994156671591,	
7193.671658992767,	0.051137947,	-0.001139821871311869,	11,	0.051137947,	-0.005815417710774842,	
7194.671658992767,	0.051149435,	-0.001139708451204933,	11,	0.051149435,	-0.005814839036759861,	
7195.671658992767,	0.051149435,	-0.001138373551052063,	11,	0.051149435,	-0.005808028321694199,	
7196.671658992767,	0.051114965,	-0.001139246270433069,	11,	0.051114965,	-0.0058124809715972905,	
7197.671658992767,	0.051149435,	-0.00113778140502982,	11,	0.051149435,	-0.00580500716851949,	
7198.671658992767,	0.051145557,	-0.001135890451958405,	11,	0.051145557,	-0.005795359448767372,	
7199.671658992767,	0.051153243,	-0.001136761780525557,	11,	0.051153243,	-0.005799805002681413,	
7200.671658992767,	0.051168539,	-0.00113735863189213,	11,	0.051168539,	-0.005802850162714948,	
7201.671658992767,	0.051103547,	-0.001134712384198792,	11,	0.051103547,	-0.005789348898973429,	
7202.671658992767,	0.051103547,	-0.001135831543267709,	11,	0.051103547,	-0.005795058894223004,	
7203.671658992767,	0.051160853,	-0.001132039035973139,	11,	0.051160853,	-0.005775709367209893,	
7204.671658992767,	0.05114175,	-0.0011326856888365,	11,	0.05114175,	-0.005779008616512755,	
7205.671658992767,	0.051153168,	-0.001135567345772871,	11,	0.051153168,	-0.0057937109478207694,	
7206.671658754349,	0.05114175,	-0.001133006282942372,	11,	0.05114175,	-0.005780644300726387,	
7207.671658754349,	0.051160853,	-0.001132291030604393,	11,	0.051160853,	-0.005776995054104046,	
7208.671658754349,	0.051103547,	-0.00113073680328671,	11,	0.051103547,	-0.005769065322891377,	
7209.671658754349,	0.051095936,	-0.00113070158576593,	11,	0.051095936,	-0.005768885641662907,	
7210.671658754349,	0.051164657,	-0.001128856362611987,	11,	0.051164657,	-0.00575947123781626,	
7211.671658754349,	0.051111232,	-0.001129432419012304,	11,	0.051111232,	-0.005762410301083183,	
7212.671658754349,	0.051176149,	-0.00112843747169245,	11,	0.051176149,	-0.005757334039247193,	
7213.671658754349,	0.051107354,	-0.001128733730060049,	11,	0.051107354,	-0.005758845561530861,	
7214.671658754349,	0.05118376,	-0.001127037603198551,	11,	0.05118376,	-0.0057501918530538315,	
7215.671658754349,	0.051160853,	-0.001130700104078278,	11,	0.051160853,	-0.00576887808203203,	
7216.671658754349,	0.051107429,	-0.001128674508281984,	11,	0.051107429,	-0.00575854340960196,	
7217.671658754349,	0.051134065,	-0.001128393456921913,	11,	0.051134065,	-0.005757109474091393,	
7218.671658754349,	0.051095936,	-0.001127442390238868,	11,	0.051095936,	-0.005752257093055448,	
7219.671658754349,	0.051157046,	-0.001127239240892232,	11,	0.051157046,	-0.005751220616797103,	
7220.671658754349,	0.051172342,	-0.001125540710892528,	11,	0.051172342,	-0.005742554647410857,	
